KEY,d13C _Sample,Formation,Std_Fm_Name,Location,Lat,Long,Age,Uncertainty,Known_Uncertainty,Lithology,HC_Ratio,N,Reference,Flags,Notes,Uncertainty_Method
58,17205,Malmani Dolomite,"Malmani Fm, Espanola Subgp",South Africa,-28.7,25.3,2400,120,,,0.16,3,Strauss 1992 3.2.2,,,
59,17206,Mt. McRae Shale,Mount McRae Shale,Australia,-23.7,134.1,2500,125,,,0.11,2,Strauss 1992 3.2.2,,,
60,17207,Wittenoom Dolomite,"Wittenoom Fm, Hamersley Gp",Australia,-23.7,134.1,2500,125,,,0.14,1,Strauss 1992 3.2.2,,,
135,16974,Balbirini Formation ,"Balbirini Dolomite, Nathan Gp",Australia,-23.7,134.1,1482,74,,CARB,0.99,,Strauss 1992 17.9,,,
143,16975,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,1.66,,Strauss 1992 17.9,,,
144,16976,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,1.61,,Strauss 1992 17.9,,,
145,16977,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,1.49,,Strauss 1992 17.9,,,
146,16978,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,1.54,,Strauss 1992 17.9,,,
147,16979,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,1.51,,Strauss 1992 17.9,,,
148,16980,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,1.23,,Strauss 1992 17.9,,,
149,16981,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,1.15,,Strauss 1992 17.9,,,
150,16982,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,0.93,,Strauss 1992 17.9,,,
151,16983,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,1.11,,Strauss 1992 17.9,,,
152,16984,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,0.97,,Strauss 1992 17.9,,,
153,16985,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,0.91,,Strauss 1992 17.9,,,
154,16986,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,1,,Strauss 1992 17.9,,,
155,16987,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,0.87,,Strauss 1992 17.9,,,
156,16988,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,0.59,,Strauss 1992 17.9,,,
157,16989,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,0.78,,Strauss 1992 17.9,,,
158,16990,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,0.87,,Strauss 1992 17.9,,,
159,16991,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,0.62,,Strauss 1992 17.9,,,
160,16992,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,0.38,,Strauss 1992 17.9,,,
161,16993,Barney Creek Formation ,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,SH,0.38,,Strauss 1992 17.9,,,
102,12488,Bitter Springs Formation ,Bitter Springs Fm,Australia,-23.7,134.1,850,43,,CH,0.34,,Strauss 1992 17.9,,,
103,16994,Bitter Springs Formation ,Bitter Springs Fm,Australia,-23.7,134.1,850,43,,CARB,0.28,,Strauss 1992 17.9,,,
104,16995,Bitter Springs Formation ,Bitter Springs Fm,Australia,-23.7,134.1,850,43,,CARB,0.46,,Strauss 1992 17.9,,,
105,16996,Bitter Springs Formation ,Bitter Springs Fm,Australia,-23.7,134.1,850,43,,CH,0.1,,Strauss 1992 17.9,,,
106,16997,Bitter Springs Formation ,Bitter Springs Fm,Australia,-23.7,134.1,850,43,,CARB,0.73,,Strauss 1992 17.9,,,
