Eon,Formation,Age (Ma),Lithology,TOC,?C org ( ‰) PDB,?C carb ( ‰) PDB,N,Reference Code
,Willochra Formation ,650,LS,,,3.3,1,VEIZ761387
,Wilsonbreen Formation ,650,CARB,,-29.8,,1,KNOL86.823
,Wilsonbreen Formation ,650,CARB,,,4,1,KNOL86.832
,Wilsonbreen Formation ,650,CARB,,,1.8,11,FAIR87.973
,Wonokaan Formation ,650,LS,,,-7.2,1,VEIZ761387
,Cango Formation ,660,CARB,,-21.2,,2,EICH75.585
,Cango Formation ,660,CARB,,,-1.7,2,EICH75.585
,Barrandium System ,670,SH,22.72,-33,,13,POUB86.225
,Bhima Group ,675,DOL,,,3.3,2,SATH87.147
,Jarrad Sandstone Member ,675,CARB,0.07,-25.7,,2,PPRG
,Umberatana Group ,675,CARB,,3.3,,3,SCHI75...1
,Bed 19 ,680,LS,4.65,-24.8,,6,KNOL86.823
,Bed 19 ,680,SH,2.9,-31,,1,KNOL86.823
,Bed 19 ,680,LS,,,4.7,6,KNOL86.832
,Bed 19/20 ,680,CARB,0.85,-32.4,,2,KNOL86.823
,Bed 19/20 ,680,CARB,,,-5.3,3,KNOL86.832
,Blackaberget Formation ,680,"SILT, SH",4.15,-29.3,,6,KNOL86.823
,Blackaberget Formation ,680,"SILT, SH",,2,,5,KNOL86.832
,Datanpo Formation ,680,SH,,-24.9,,2,LAMB87.140
,Datanpo Formation ,680,CARB,,-4.6,,1,LAMB87.140
,Klackaberget Formation ,680,SH,0.7,-23.1,,1,KNOL86.823
,Klackaberget Formation ,680,CARB,2,-12.5,,1,KNOL86.823
,Klackaberget Formation ,680,"SH, CARB",,,2.8,2,KNOL86.832
,Moonlight Valley Tillite ,680,DOL,,,-1.2,7,WILL79.377
,Moonlight Valley Tillite ,680,CARB,0.02,,,1,PPRG
,Elbobreen Formation ,690,SH,3.8,-29.3,,2,KNOL86.823
,Elbobreen Formation ,690,"CARB, SH",,,3.3,4,KNOL86.832
