Formation,Std Fm. Name,Age (Mya),Lithology,Lithology Code,VL Lith Name 1,Std Lithology,Std Lithology Code,check codes,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,"Duplicate Search Key (Std Name, Age, Std Lith Code, TOC, d13-org, d13-org)",Countif Dupl.,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Ignikan,Ignikan,1025,carb,,carb,carb,CARB,#N/A,,,1.4,10,bart01,Krissansen-Totton 2015,FALSE,Ignikan1025CARB1.4,0,FALSE,,,,
Insuzi,Insuzi,3100,lime,,lime,lime,LS,#N/A,,,-1.94,7,veizer90,Krissansen-Totton 2015,FALSE,Insuzi3100LS-1.94,0,FALSE,,,,
Insuzi,Insuzi,3100,dol,,dol,dol,DOL,#N/A,,,2.14,16,veizer90,Krissansen-Totton 2015,FALSE,Insuzi3100DOL2.14,0,FALSE,,,,
Insuzi,Insuzi,3100,ank,,ank,ank,ANK,#N/A,,,0.6,3,veizer90,Krissansen-Totton 2015,FALSE,Insuzi3100ANK0.6,0,FALSE,,,,
Insuzi,Insuzi,3100,carb,,carb,carb,CARB,#N/A,,,1.4,9,schid83,Krissansen-Totton 2015,FALSE,Insuzi3100CARB1.4,0,FALSE,,,,
Insuzi,Insuzi,3075,shale,,shale,shale,SH,#N/A,0.3,-20.4,,2,hayes83,Krissansen-Totton 2015,FALSE,Insuzi3075SH0.3-20.4,0,FALSE,,,,
Insuzi,Insuzi,3075,chert,,chert,chert,CH,#N/A,0.31,-17.8,,1,pprg92,Krissansen-Totton 2015,FALSE,Insuzi3075CH0.31-17.8,0,FALSE,,,,
Insuzi,Insuzi,3075,carb,,carb,carb,CARB,#N/A,0.26,-15.8,,3,hayes83,Krissansen-Totton 2015,FALSE,Insuzi3075CARB0.26-15.8,0,FALSE,,,,
Insuzi,Insuzi,3075,carb,,carb,carb,CARB,#N/A,0.05,-28.1,,1,pprg92,Krissansen-Totton 2015,FALSE,Insuzi3075CARB0.05-28.1,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,DOL,dolostone,dolostone,DOL,TRUE,0.06,-13.1,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000DOL0.06-13.1,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,CARB,carbonate,carbonate,CARB,TRUE,0.5,-14,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000CARB0.5-14,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,LS,limestone,limestone,LS,TRUE,0.2,-16.8,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000LS0.2-16.8,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,DOL,dolostone,dolostone,DOL,TRUE,0.12,-16.6,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000DOL0.12-16.6,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,CARB,carbonate,carbonate,CARB,TRUE,0.4,-18.3,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000CARB0.4-18.3,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,SH,shale,shale,SH,TRUE,0.3,-16.3,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000SH0.3-16.3,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,SH,shale,shale,SH,TRUE,0.3,-24.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000SH0.3-24.4,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,I,basalt,basalt,I,TRUE,0.13,-18.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000I0.13-18.4,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,DOL,dolostone,dolostone,DOL,TRUE,,,1.8,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000DOL1.8,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,DOL,dolostone,dolostone,DOL,TRUE,,,1.4,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000DOL1.4,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,CARB,carbonate,carbonate,CARB,TRUE,,,-0.1,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000CARB-0.1,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,CARB,carbonate,carbonate,CARB,TRUE,,,-0.6,,SCH183.149,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000CARB-0.6,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,CARB,carbonate,carbonate,CARB,TRUE,,,2.1,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000CARB2.1,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,DOL,dolostone,dolostone,DOL,TRUE,,,1.8,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000DOL1.8,1,TRUE,,,,
Insuzi Group ,Insuzi,3000,,DOL,dolostone,dolostone,DOL,TRUE,,,2.1,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000DOL2.1,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,LS,limestone,limestone,LS,TRUE,,,1.1,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000LS1.1,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,DOL,dolostone,dolostone,DOL,TRUE,,,2.9,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Insuzi3000DOL2.9,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,CARB,carbonate,carbonate,CARB,TRUE,0.26,-15.8,,3,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Insuzi3000CARB0.26-15.8,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,CH,chert,chert,CH,TRUE,0.31,-17.8,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,Insuzi3000CH0.31-17.8,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,CARB,carbonate,carbonate,CARB,TRUE,,1.4,,9,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,Insuzi3000CARB1.4,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,SH,shale,shale,SH,TRUE,0.3,-20.4,,2,HAYE83.993,Strauss 1992 17.4 (Summary),TRUE,Insuzi3000SH0.3-20.4,0,FALSE,,,,
Insuzi Group ,Insuzi,3000,,CARB,carbonate,carbonate,CARB,TRUE,0.05,-28.1,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,Insuzi3000CARB0.05-28.1,0,FALSE,,,,
"Irregully Fm, Bangemall Gp",Irregully,1575,dol,,dol,dol,DOL,#N/A,,,-0.11,107,buick95,Krissansen-Totton 2015,FALSE,Irregully1575DOL-0.11,0,FALSE,,,,
Isua,Isua,3800,metapelite,,metapelite,metapelite,MP,#N/A,0.175723555,-26.66490947,,5,UW data (unpublished),Krissansen-Totton 2015,FALSE,Isua3800MP0.17572355470839-26.6649094654058,0,FALSE,,,,
Isua,Isua,3780,shale,,shale,shale,SH,#N/A,0.425,-17.7625,,4,Rosing (1999) Science,Krissansen-Totton 2015,FALSE,Isua3780SH0.425-17.7625,0,FALSE,X,NP,,
Isua,Isua,3750,bif,,bif,bif,BIF,#N/A,,-15.3,,13,schid79,Krissansen-Totton 2015,FALSE,Isua3750BIF-15.3,0,FALSE,X,NP,,
Isua,Isua,3750,bif,,bif,bif,BIF,#N/A,,-17.4,,10,hayes83,Krissansen-Totton 2015,FALSE,Isua3750BIF-17.4,0,FALSE,X,NP,,
Isua,Isua,3750,bif,,bif,bif,BIF,#N/A,,-12.9,,7,perry77,Krissansen-Totton 2015,FALSE,Isua3750BIF-12.9,0,FALSE,X,NP,,
Isua,Isua,3750,bif,,bif,bif,BIF,#N/A,2.48,-8.9,,7,Shimoyamaet al. (1992),Krissansen-Totton 2015,FALSE,Isua3750BIF2.48-8.9,0,FALSE,X,NP,,
Isua,Isua,3750,bif,,bif,bif,BIF,#N/A,,,-5.3,3,Shimoyamaet al. (1992),Krissansen-Totton 2015,FALSE,Isua3750BIF-5.3,0,FALSE,X,NP (bif),,
Isua,Isua,3750,bif,,bif,bif,BIF,#N/A,,,-5,2,schid83,Krissansen-Totton 2015,FALSE,Isua3750BIF-5,0,FALSE,X,NP (bif),,
Isua,Isua,3750,bif,,bif,bif,BIF,#N/A,,,-2.2,8,perry77,Krissansen-Totton 2015,FALSE,Isua3750BIF-2.2,0,FALSE,X,NP (bif),,
Isua,Isua,3750,bif,,bif,bif,BIF,#N/A,,,-2.3,128,Schidlowski79,Krissansen-Totton 2015,FALSE,Isua3750BIF-2.3,0,FALSE,X,NP (bif),,
Isua Supergroup ,Isua,3700,,CARB,carbonate,carbonate,CARB,TRUE,,-22.2,,,SCHI79.189,Strauss 1992 17.3 (Prev),FALSE,Isua3700CARB-22.2,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,CARB,carbonate,carbonate,CARB,TRUE,,-21.6,,,SCHI79.189,Strauss 1992 17.3 (Prev),FALSE,Isua3700CARB-21.6,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-9.2,,,SCHI79.189,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF-9.2,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-22.2,,,SCHI79.189,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF-22.2,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-14.4,,,SCHI79.189,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF-14.4,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,CARB,carbonate,carbonate,CARB,TRUE,,-9,,,SCHI79.189,Strauss 1992 17.3 (Prev),FALSE,Isua3700CARB-9,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,LS,limestone,limestone,LS,TRUE,,-24.9,,,SCHI79.189,Strauss 1992 17.3 (Prev),FALSE,Isua3700LS-24.9,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,LS,limestone,limestone,LS,TRUE,,-13.4,,,SCHI79.189,Strauss 1992 17.3 (Prev),FALSE,Isua3700LS-13.4,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,LS,limestone,limestone,LS,TRUE,,-18.7,,,SCHI79.189,Strauss 1992 17.3 (Prev),FALSE,Isua3700LS-18.7,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-16.8,,,SCHI79.189,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF-16.8,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-12.4,,,SCHI79.189,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF-12.4,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,CARB,carbonate,carbonate,CARB,TRUE,,-5.9,,,SCHI79.189,Strauss 1992 17.3 (Prev),FALSE,Isua3700CARB-5.9,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,CARB,carbonate,carbonate,CARB,TRUE,,-8.3,,,SCHI79.189,Strauss 1992 17.3 (Prev),FALSE,Isua3700CARB-8.3,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-10.3,,,PERR77.280,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF-10.3,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-9.3,,,PERR77.280,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF-9.3,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-10.7,,,PERR77.28O,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF-10.7,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-12.5,,,PERR77.280,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF-12.5,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-16.3,,,PERR77.280,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF-16.3,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-15.3,,,PERR77.280,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF-15.3,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-16,,,PERR77.280,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF-16,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,25,-9.8,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF25-9.8,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,0.06,-12,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF0.06-12,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,H,schist,schist,H,TRUE,0.06,-14.3,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Isua3700H0.06-14.3,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,H,schist,schist,H,TRUE,0.06,-19.3,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Isua3700H0.06-19.3,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,H,schist,schist,H,TRUE,0.11,-28.2,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Isua3700H0.11-28.2,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,N,gneiss,gneiss,N,TRUE,0.7,-16.6,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Isua3700N0.7-16.6,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,N,gneiss,gneiss,N,TRUE,22,-16.1,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Isua3700N22-16.1,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,N,gneiss,gneiss,N,TRUE,0.1,-20,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Isua3700N0.1-20,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,N,gneiss,gneiss,N,TRUE,0.09,-21.6,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Isua3700N0.09-21.6,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,N,gneiss,gneiss,N,TRUE,0.06,-16.6,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Isua3700N0.06-16.6,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,,-4.7,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF-4.7,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,,-5.3,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Isua3700BIF-5.3,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,CARB,carbonate,carbonate,CARB,TRUE,,,-4.5,,PERR77.280,Strauss 1992 17.3 (Prev),FALSE,Isua3700CARB-4.5,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,CARB,carbonate,carbonate,CARB,TRUE,,,-3.3,,PERR77.280,Strauss 1992 17.3 (Prev),FALSE,Isua3700CARB-3.3,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,CARB,carbonate,carbonate,CARB,TRUE,,,-4.8,,PERR77.280,Strauss 1992 17.3 (Prev),FALSE,Isua3700CARB-4.8,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,CARB,carbonate,carbonate,CARB,TRUE,,,-0.3,,PERR77.280,Strauss 1992 17.3 (Prev),FALSE,Isua3700CARB-0.3,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,CARB,carbonate,carbonate,CARB,TRUE,,,-3.3,,PERR77.280,Strauss 1992 17.3 (Prev),FALSE,Isua3700CARB-3.3,1,TRUE,,,,
Isua Supergroup ,Isua,3700,,CARB,carbonate,carbonate,CARB,TRUE,,,1.8,,PERR77.28O,Strauss 1992 17.3 (Prev),FALSE,Isua3700CARB1.8,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,CARB,carbonate,carbonate,CARB,TRUE,,,1,,PERR77.280,Strauss 1992 17.3 (Prev),FALSE,Isua3700CARB1,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,CARB,carbonate,carbonate,CARB,TRUE,,,-4.1,,PERR77.280,Strauss 1992 17.3 (Prev),FALSE,Isua3700CARB-4.1,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,"BIF, CARB",banded iron formation and carbonate,banded iron formation and carbonate,#N/A,#N/A,,-15.3,,13,SCHI79.189,Strauss 1992 17.4 (Summary),TRUE,#N/A,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-12.9,,7,PERR77.280,Strauss 1992 17.4 (Summary),TRUE,Isua3700BIF-12.9,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-17.4,,10,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Isua3700BIF-17.4,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,,-5,2,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,Isua3700BIF-5,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,CARB,carbonate,carbonate,CARB,TRUE,,,-2.2,8,PERR77.280,Strauss 1992 17.4 (Summary),TRUE,Isua3700CARB-2.2,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-10,,,HAYE83..93,Strauss 1992 17.9 (Prev),FALSE,Isua3700BIF-10,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,H,schist,schist,H,TRUE,,-13.2,,,HAYE83..93,Strauss 1992 17.9 (Prev),FALSE,Isua3700H-13.2,0,FALSE,,,,
Isua Supergroup ,Isua,3700,,BIF,banded iron formation,banded iron formation,BIF,TRUE,,-10,,1,HAYE83..93,Strauss 1992 17.10 (Summary),TRUE,Isua3700BIF-10,1,TRUE,,,,
Isua Supergroup ,Isua,3700,,H,schist,schist,H,TRUE,,-13.2,,1,HAYE83.93,Strauss 1992 17.10 (Summary),TRUE,Isua3700H-13.2,1,TRUE,,,,
"Iswal, Aravalli Supergroup",Iswal,1921,carb,,carb,carb,CARB,#N/A,,,9.09047619,21,Maheshwari et al. (2010),Krissansen-Totton 2015,FALSE,Iswal1921CARB9.09047619047619,0,FALSE,,,,
Jarrad,Jarrad,675,carb,,carb,carb,CARB,#N/A,0.07,-25.7,,2,pprg92,Krissansen-Totton 2015,FALSE,Jarrad675CARB0.07-25.7,0,FALSE,,,,
Jarrad Sandstone Member ,Jarrad,675,,CARB,carbonate,carbonate,CARB,TRUE,0.07,-25.7,,2,PPRG,Strauss 1992 17.4 (Summary),TRUE,Jarrad675CARB0.07-25.7,1,TRUE,,,,
Jatulian,Jatulian,1800,shale,,shale,shale,SH,#N/A,,-32,,1,leven75,Krissansen-Totton 2015,FALSE,Jatulian1800SH-32,0,FALSE,,,,
Jatulian Shungite Formation ,Jatulian,1800,,SH,shale,shale,SH,TRUE,-32,,,,LEVE754706,Strauss 1992 17.3 (Prev),FALSE,Jatulian1800SH-32,1,TRUE,,,,
Jatulian Shungite Formation ,Jatulian,1800,,SH,shale,shale,SH,TRUE,,-32,,1,LEVE754706,Strauss 1992 17.4 (Summary),TRUE,Jatulian1800SH-32,2,TRUE,,,,
"Jatulian, North Onega",Jatulian,2050,lime,,lime,lime,LS,#N/A,,,15.16,2,karhu93,Krissansen-Totton 2015,FALSE,Jatulian2050LS15.16,0,FALSE,,,,
"Jatulian, North Onega",Jatulian,2050,dol,,dol,dol,DOL,#N/A,,,11.82,4,karhu93,Krissansen-Totton 2015,FALSE,Jatulian2050DOL11.82,0,FALSE,,,,
"Jatulian, Onega",Jatulian,2050,dol,,dol,dol,DOL,#N/A,,,9.46,7,karhu93,Krissansen-Totton 2015,FALSE,Jatulian2050DOL9.46,0,FALSE,,,,
"Jatulian, Soanlahti",Jatulian,2050,dol,,dol,dol,DOL,#N/A,,,8.4,1,karhu93,Krissansen-Totton 2015,FALSE,Jatulian2050DOL8.4,0,FALSE,,,,
"Jatulian, Suojarvi",Jatulian,2050,dol,,dol,dol,DOL,#N/A,,,10.07,2,karhu93,Krissansen-Totton 2015,FALSE,Jatulian2050DOL10.07,0,FALSE,,,,
"Jatulian, Tulomozero",Jatulian,2075,dol,,dol,dol,DOL,#N/A,,,8.85,6,karhu93,Krissansen-Totton 2015,FALSE,Jatulian2075DOL8.85,0,FALSE,,,,
"Javanahalli, Sira",Javanahalli,2750,lime,,lime,lime,LS,#N/A,,,-0.55,2,kumar83,Krissansen-Totton 2015,FALSE,Javanahalli2750LS-0.55,0,FALSE,,,,
Jeerinah,Jeerinah,2700,shale,,shale,shale,SH,#N/A,8.02,-27.94,,5,Brocks et al. (2003),Krissansen-Totton 2015,FALSE,Jeerinah2700SH8.02-27.94,0,FALSE,,,,
Jeerinah,Jeerinah,2675,silt,,silt,silt,SILT,#N/A,5.23,-45.8,,2,pprg92,Krissansen-Totton 2015,FALSE,Jeerinah2675SILT5.23-45.8,0,FALSE,,,,
Jeerinah,Jeerinah,2675,shale,,shale,shale,SH,#N/A,64.14,-41,,7,hayes83,Krissansen-Totton 2015,FALSE,Jeerinah2675SH64.14-41,0,FALSE,,,,
Jeerinah,Jeerinah,2675,shale,,shale,shale,SH,#N/A,,-35.4,,1,hoer67,Krissansen-Totton 2015,FALSE,Jeerinah2675SH-35.4,0,FALSE,,,,
Jeerinah,Jeerinah,2675,chert,,chert,chert,CH,#N/A,2.15,-30.5,,2,hayes83,Krissansen-Totton 2015,FALSE,Jeerinah2675CH2.15-30.5,0,FALSE,,,,
Jeerinah,Jeerinah,2672.5,mudstone,,mudstone,mudstone,MD,#N/A,0.18,-38.69857143,,7,Yoshiya et al. (2012),Krissansen-Totton 2015,FALSE,Jeerinah2672.5MD0.18-38.6985714285714,0,FALSE,,,,
Jeerinah,Jeerinah,2672.5,chert,,chert,chert,CH,#N/A,0.25,-33.55,,8,Kakegawa and Nanri (2006),Krissansen-Totton 2015,FALSE,Jeerinah2672.5CH0.25-33.55,0,FALSE,,,,
Jeerinah,Jeerinah,2662,shale,,shale,shale,SH,#N/A,2.817777778,-42.48363636,,55,Eigenbrode & Freeman (2006) PNAS,Krissansen-Totton 2015,FALSE,Jeerinah2662SH2.81777777777778-42.4836363636364,0,FALSE,,,,
"Jeerinah Fm, Fortescue Group, Mt Bruce ",Jeerinah,2662,shale,,shale,shale,SH,#N/A,6.623333333,-40.55166667,,6,Yamaguchi thesis (2002),Krissansen-Totton 2015,FALSE,Jeerinah2662SH6.62333333333333-40.5516666666667,0,FALSE,,,,
Jeerinah Formation,Jeerinah,2662,shale,,shale,shale,SH,#N/A,3.508333333,-40.26,,5,Czaja et al. (2010) EPSL,Krissansen-Totton 2015,FALSE,Jeerinah2662SH3.50833333333333-40.26,0,FALSE,,,,
Jeerinah Formation,Jeerinah,2650,,SH,shale,shale,SH,TRUE,,0.004,,,HAYE83..93,Strauss 1992 17.9 (Prev),FALSE,Jeerinah2650SH0.004,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,SH,shale,shale,SH,TRUE,,-35.4,,,HOER67.365,Strauss 1992 17.3 (Prev),FALSE,Jeerinah2650SH-35.4,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,CH,chert,chert,CH,TRUE,0.4,-33,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Jeerinah2650CH0.4-33,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,SH,shale,shale,SH,TRUE,40,-41.2,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Jeerinah2650SH40-41.2,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,SH,shale,shale,SH,TRUE,68,-41.3,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Jeerinah2650SH68-41.3,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,SH,shale,shale,SH,TRUE,73,-41.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Jeerinah2650SH73-41.4,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,SH,shale,shale,SH,TRUE,165,-40.5,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Jeerinah2650SH165-40.5,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,SH,shale,shale,SH,TRUE,31,-42,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Jeerinah2650SH31-42,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,SH,shale,shale,SH,TRUE,40,-42.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Jeerinah2650SH40-42.4,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,SH,shale,shale,SH,TRUE,12,-38.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Jeerinah2650SH12-38.4,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,CH,chert,chert,CH,TRUE,3.9,-27.9,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Jeerinah2650CH3.9-27.9,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,SH,shale,shale,SH,TRUE,,-35.4,,1,HOER67.365,Strauss 1992 17.4 (Summary),TRUE,Jeerinah2650SH-35.4,1,TRUE,,,,
Jeerinah Formation ,Jeerinah,2650,,SH,shale,shale,SH,TRUE,64.14,-41,,7,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Jeerinah2650SH64.14-41,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,SILT,siltstone,siltstone,SILT,TRUE,5.23,-45.8,,2,PPRG,Strauss 1992 17.4 (Summary),TRUE,Jeerinah2650SILT5.23-45.8,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,CH,chert,chert,CH,TRUE,2.15,-30.5,,2,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Jeerinah2650CH2.15-30.5,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,SH,shale,shale,SH,TRUE,,-43.3,,2,PPRG,Strauss 1992 17.10 (Summary),TRUE,Jeerinah2650SH-43.3,0,FALSE,,,,
Jeerinah Formation ,Jeerinah,2650,,SH,shale,shale,SH,TRUE,,-41,,1,HAYE83..93,Strauss 1992 17.10 (Summary),TRUE,Jeerinah2650SH-41,0,FALSE,,,,
Jeerinah Formationn,Jeerinah,2662,shale,,shale,shale,SH,#N/A,0.695,-42.45555556,,9,Czaja et al. (2010) EPSL,Krissansen-Totton 2015,FALSE,Jeerinah2662SH0.695-42.4555555555556,0,FALSE,,,,
Jhamarkotra,Jhamarkotra,2250,dol,,dol,dol,DOL,#N/A,,,9.04,21,maheshwari99,Krissansen-Totton 2015,FALSE,Jhamarkotra2250DOL9.04,0,FALSE,,,,
Jhamarkotra Block,Jhamarkotra,1920,shale,,shale,shale,SH,#N/A,2.266666667,-10.2,,3,Papineau et al. (2009) PrecRes,Krissansen-Totton 2015,FALSE,Jhamarkotra1920SH2.26666666666667-10.2,0,FALSE,,,,
