Formation,Std Fm. Name,Age (Mya),Lithology,Lithology Code,VL Lith Name 1,Std Lithology,Std Lithology Code,check codes,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,"Duplicate Search Key (Std Name, Age, Std Lith Code, TOC, d13-org, d13-org)",Countif Dupl.,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Amelia Dolomite ,Amelia,1600,,CARB,carbonate,carbonate,CARB,TRUE,0.95,-26,,6,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Amelia1600CARB0.95-26,0,FALSE,,,,
Amelia Dolomite ,Amelia,1600,,CARB,carbonate,carbonate,CARB,TRUE,,,-0.8,3,CHI83.149,Strauss 1992 17.4 (Summary),TRUE,Amelia1600CARB-0.8,0,FALSE,,,,
Amelia Dolomite ,Amelia,1600,,CH,chert,chert,CH,TRUE,0.7,-29.4,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Amelia1600CH0.7-29.4,1,TRUE,,,,
"Amelia, McArthur Gp",Amelia,1650,carb,,carb,carb,CARB,#N/A,,,-0.8,3,schid83,Krissansen-Totton 2015,FALSE,Amelia1650CARB-0.8,0,FALSE,,,,
Amisk,Amisk,1800,shale,,shale,shale,SH,#N/A,16.78,-26.4,,40,stra86,Krissansen-Totton 2015,FALSE,Amisk1800SH16.78-26.4,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,34,-28.4,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH34-28.4,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,51,-28.2,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH51-28.2,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,17,-27.2,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH17-27.2,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,32,-27.2,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH32-27.2,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,20,-27.4,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH20-27.4,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,33,-28.3,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH33-28.3,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,19,-26.5,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH19-26.5,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,70,-28.8,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH70-28.8,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,27,-28.7,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH27-28.7,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,17,-28.8,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH17-28.8,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,16,-28.4,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH16-28.4,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,17,-28.1,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH17-28.1,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,23,-27.9,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH23-27.9,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,24,-28.5,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH24-28.5,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,21,-29.4,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH21-29.4,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,7,-27,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH7-27,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,33,-28,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH33-28,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,17,-28.2,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH17-28.2,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,12,-27.3,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH12-27.3,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,30,-29,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH30-29,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,29,-29.8,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH29-29.8,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,6,-25.2,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH6-25.2,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,22,-17.9,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH22-17.9,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,5,-25.4,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH5-25.4,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,7,-23.8,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH7-23.8,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,5,-23.5,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH5-23.5,0,FALSE,,,,
Amisk Group ,Amisk,1800,,SH,shale,shale,SH,TRUE,7,-22.7,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,Amisk1800SH7-22.7,0,FALSE,,,,
