Unit,Age (Ma),Reference Code,Lithology,C (%),H (%),N (%),H/C,N/C,delCorg (‰) (PDB),
McMinn Formation ,1340,MCKI8O.187,SH,73.6,0,0,1.17,0,,
McMinn Formation ,1340,MCKI80.187,SH,81.2,0,0,0.86,0,,
McMinn Formation ,1340,MCKI80.187,SH,81.9,0,0,0.65,0,,
McMinn Formation ,1340,MCKI80.197,SH,81.4,0,0,0.59,0,,
McMinn Formation ,1340,MCKI80.187,SH,83.4,0,0,0.54,0,,
McMinn Formation ,1340,MCKI80.187,SH,86.6,0,0,0.36,0,,
McMinn Formation ,1340,MCKI74.591,SH,0,0,0,1.17,0,-30.2,
Lansen Creek Shale Member ,1350,POWE87...1,SH,55.1,5.7,0.25,1.24,0,,
Lansen Creek Shale Member ,1350,POWE87...1,SH,66.4,5.52,0.69,1,0,,
Lansen Creek Shale Member ,1350,POWE87...1,SH,80.8,5.99,1.11,0.89,0,,
Lansen Creek Shale Member ,1350,POWE87...1,SH,69.4,3.47,0.97,0.6,0,,
Velkerri Formation ,1350,POWE87....1,SH,86.6,7.26,0.74,1.01,0,,
Velkerri Formation ,1350,POWE87...1,SH,89,6.52,0.79,0.88,0,,
Velkerri Formation ,1350,POWE87...1,SH,87.8,6.28,0.97,0.86,0,,
Velkerri Formation ,1350,POWE87...1,SH,87.4,5.74,1.12,0.79,0,,
Velkerri Formation ,1350,POWE87...1,SH,89.1,5.65,1.12,0.76,0,,
Velkerri Formation ,1350,POWE87...1,SH,89.7,5.26,1.38,0.7,0,,
Velkerri Formation ,1350,POWE87...1,SH,88.6,4.81,0.87,0.65,0,,
Bungle Bungle Dolomite ,1364,HAYE83..93,CH,65,1.69,1.81,0.31,0.024,-30,
Bungle Bungle Dolomite ,1364,HAYE83..93,SH,66,2.57,1.17,0.45,0.015,-33.5,
Bungle Bungle Dolomite ,1364,HAYE83..93,CARB,85,2.73,0.96,0.38,0.01,-30.2,
Bungle Bungle Dolomite ,1364,HAYE83..93,CARB,76,2.46,1.95,0.39,0.022,-30.7,
Bungle Bungle Dolomite ,1364,HAYE83..93,CARB,89,3.19,1.77,0.43,0.017,-29.3,
Balbirini Formation ,1482,POWE87...1,CARB,87,7.19,0.51,0.99,0,,
Yalco Formation ,1485,POWE87...1,CARB,81,6.24,0.66,0.92,0,,
Yalco Formation ,1485,POWE87...1,CARB,77.9,7.73,0.39,1.19,0,,
Yalco Formation ,1485,POWE87...1,CARB,80.7,6.13,0.8,0.91,0,,
Yalco Formation ,1485,POWE87...1,CARB,83.4,7.81,0.74,1.12,0,,
Yalco Formation ,1485,POWE87...1,CARB,81,5.98,0.76,0.89,0,,
Yalco Formation ,1485,POWE87...1,CARB,80.8,6.27,0.88,0.93,0,,
Lynott-Don Formation ,1490,POWE87...1,SH,78.6,6.17,1.11,0.94,0,,
Barney Creek Formation ,1500,POWE87...,SH,73.6,10.19,4.17,1.66,0,,
Barney Creek Formation ,1500,POWE87...,SH,78.1,10.51,3.61,1.61,0,,
Barney Creek Formation ,1500,POWE87...,SH,78.9,9.78,4.71,1.49,0,,
Barney Creek Formation ,1500,POWE87...,SH,77.8,10.01,3.24,1.54,0,,
Barney Creek Formation ,1500,POWE87...,SH,73.6,9.28,2.21,1.51,0,,
Barney Creek Formation ,1500,POWE87...,SH,83.8,8.62,3.74,1.23,0,,
Barney Creek Formation ,1500,POWE87...,SH,78.3,7.48,3.05,1.15,0,,
Barney Creek Formation ,1500,POWE87...,SH,83.8,6.49,3.55,0.93,0,,
Barney Creek Formation ,1500,POWE87...,SH,77,7.12,3.14,1.11,0,,
Barney Creek Formation ,1500,POWE87...1,SH,71.7,5.81,3.51,0.97,0,,
Barney Creek Formation ,1500,POWE87...1,SH,87.7,6.68,3.89,0.91,0,,
Barney Creek Formation ,1500,POWE87...1,SH,75.3,6.27,2.24,1,0,,
Barney Creek Formation ,1500,POWE87...1,SH,82.2,5.99,1.29,0.87,0,,
Barney Creek Formation ,1500,POWE87...1,SH,79.3,3.92,0.56,0.59,0,,
Barney Creek Formation ,1500,POWE87...1,SH,52.7,3.41,0.88,0.78,0,,
Barney Creek Formation ,1500,POWE87...1,SH,75.1,5.44,1.74,0.87,0,,
Barney Creek Formation ,1500,POWE87...1,SH,83.7,4.34,0.95,0.62,0,,
Barney Creek Formation ,1500,POWE87...1,SH,72.4,2.28,0.75,0.38,0,,
Barney Creek Formation ,1500,POWE87...1,SH,81.3,2.57,2.67,0.38,0,,
HYC Pyritic Shale Member ,1500,HAYE83..93,SH,34,1.12,0.5,0.39,0.013,-38.9,
HYC Pyritic Shale Member ,1500,MCKI74.591,SH,0,0,0,0.64,0,-26.6,
Marimo Slate ,1500,MCK.I74.591,SH,0,0,0,0.05,0,-25.8,
Tooganinie Formation ,1600,MCKI76.163,CARB,77.2,4.2,1.8,1.8,0.65,0,
Paradise Creek Formation ,1650,LEVE754706,CH,0,0,0,0.2,0,,
Urquhart Shale ,1670,LEVE754706,SH,0,0,0,0.1,0,-22.2,
Urquhart Shale ,1670,MCKI74.591,SH,0,0,0,0.13,0,-28.2,
Earaheedy Group ,1800,HAYE83..93,CARB,97,2.18,0.54,0.27,0.005,-33.2,
Golden Dyke Formation ,1900,MCKI74.591,SH,0,0,0,0.04,0,-15.8,
Rove Formation ,1900,HAYE83..93,SH,61,2.1,0.83,0.41,0.012,-32.1,
Duck Creek Dolomite ,2000,HAYE83..93,CARB,76,0.92,1.02,0.14,0.011,-25,
Duck Creek Dolomite ,2000,HAYE83..93,CH,40,1.08,0.23,0.32,0.005,-31.7,
Gunflint Iron Formation ,2090,HAYE83..93,CH,42,2.13,1.03,0.61,0.022,-33.5,
Gunflint Iron Formation ,2090,LEVE754706,CH,0,0,0,0.1,0,,
McLeary Formation ,2100,HAYE83..93,CH,,80,1.71,1.19,0.26,0.013,-28.4
Upper Albanel Formation ,2100,HAYE83..93,CARB,,71,0.81,0.37,0.14,0.004,-29.8
Malmani Subgroup ,2400,HAYE83..93,CARB,,69,0.81,0.23,0.14,0.003,-35
Malmani Subgroup ,2400,HAYE83..93,CARB,,52,0.86,0.4,0.21,0.007,-32.5
Mt. McRae Shale ,2500,HAYE83..93,SH,,99,0.94,0.9,0.11,0.008,
Mt. McRae Shale ,2500,HAYE83..93,SH,,53,0.51,0.44,0.11,0.007,-35.3
Wittenoom Dolomite ,2500,HAYE83..93,SH,,52,0.59,0.33,0.14,0.005,-41.8
Bulawayan Group ,2600,HAYE83..93,CARB,,82,0.67,0.76,0.1,0.008,-31.2
Manjeri Formation ,2600,HAYE83..93,CH,,66,0.82,0.35,0.15,0.005,-33
Steeprock Group ,2600,HAYE83..93,CH,,76,1.09,0.77,0.17,0.009,-27.2
Jeerinah Formation,2650,HAYE83..93,SH,,79,0.93,0.33,0.14,0.004,-41
Ventersdorp Supergroup ,2650,HAYE83..93,CH,,51,0.61,0.11,0.14,0.002,-38.5
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,1.25,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,1.05,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,1.08,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,1.11,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.83,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.73,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.67,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.71,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.71,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.69,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.67,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.67,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.69,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.63,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.59,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.58,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.57,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.59,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.54,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.53,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.53,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.49,0,
Witwatersrand Supergroup ,2710,ZUMB78.223,Q,,0,0,0,0.48,0,
Tumbiana Formation ,2750,HAYE83..93,CH,64,1.34,0.14,0.25,0.002,-51.2,
Fortescue Group ,2800,MCKI76.163,SH,73.8,2.7,0.6,0.43,0,,
Mozaan Group ,3000,HAYE83..93,SH,94,0.83,0.28,0.11,0.003,-27.3,
Gorge Creek Group ,3200,HAYE83..93,SH,74,0.53,0,0.09,0,-29.9,
Kromberg Formation ,3300,HAYE83..93,CH,82,0.88,0.3,0.13,0.003,-29.9,
Fig Tree Group ,3350,HAYE83..93,CH,80,1.07,0.61,0.16,0.006,-31.9,
Fig Tree Group ,3350,LEVE754706,CH,0,0,0,0.2,0,,
Fig Tree Group ,3350,LEVE754706,CH,0,0,0,0.1,0,-26.4,
Fig Tree Group ,3350,DUNG72.699,CH,69.4,0.9,0.4,0.16,0,,
Fig Tree Group ,3350,DUNG74.167,CH,0,0,0,0.41,0,-28,
Fig Tree Group ,3350,DUNG74.167,CH,0,0,0,0.49,0,-28.7,
Towers Formation ,3435,HAYE83..93,CH,64,1.58,0.35,0.3,0.005,-34.3,
Towers Formation ,3435,HAYE83..93,CH,77,1.06,0.6,0.16,0.007,-36.1,
Towers Formation ,3435,HAYE83..93,CH,50,1.27,0.14,0.3,0.002,-35.2,
Hooggenoeg Formation ,3450,HAYE83..93,CH,78,0.76,0.34,0.12,0.004,-31.6,
Hooggenoeg Formation ,3450,MCKI74.591,CH,0,0,0,0.41,0,-26,
Hooggenoeg Formation ,3450,MCKI74.591,CH,0,0,0,0.69,0,-27.9,
Hooggenoeg Formation ,3450,MCKI74.591,CH,0,0,0,0.43,0,-26.3,
Hooggenoeg Formation ,3450,MCKI74.591,CH,0,0,0,0.58,0,,
Onverwacht Group ,3450,DUNG72.699,CH,65.5,0.81,0.51,0.15,0,,
Onverwacht Group ,3450,DUNG74.167,CH,0,0,0,0.33,0,-31.4,
Onverwacht Group ,3450,DUNG74.167,CH,0,0,0,0.25,0,,
Onverwacht Group ,3450,DUNG74.167,CH,0,0,0,0.65,0,-26.2,
Onverwacht Group ,3450,DUNG74.167,CH,0,0,0,0.93,0,-26.2,
Onverwacht Group ,3450,DUNG74.167,CH,0,0,0,0.4,0,,
Onverwacht Group ,3450,DUNG74.167,CH,0,0,0,0.54,0,,
Onverwacht Group ,3450,DUNG74.167,CH,0,0,0,1.38,0,-33,
Onverwacht Group ,3450,DUNG74.167,CH,0,0,0,0.14,0,-32.9,
Onverwacht Group ,3450,DUNG74.167,CH,0,0,0,0.8,0,-28.4,
Onverwacht Group ,3450,DUNG74.167,CH,0,0,0,0.08,0,-15.8,
Onverwacht Group ,3450,DUNG74.167,CH,0,0,0,0.96,0,-14.3,
Swartkoppie Formation ,3450,HAYE83..93,CH,64,0.52,0.41,0.1,0.005,-32,
Swartkoppie Formation ,3450,HAYE83..93,CH,79,0.56,0.6,0.09,0.006,-26.6,
Swartkoppie Formation ,3450,LEVE754706,CH,0,0,0,0.3,0,-27.6,
Theespruit Formation ,3550,HAYE83..93,SH,98,0.16,0.06,0.02,0.001,-15.4,
Theespruit Formation ,3550,MCKI74.591,CH,0,0,0,0.09,0,,
Theespruit Formation ,3550,MCKI74.591,CH,0,0,0,0.04,0,-17.3,
Theespruit Formation ,3550,MCKI74.591,CH,0,0,0,0.04,0,-22.4,
Theespruit Formation ,3550,MCKI74.591,CH,0,0,0,0.03,0,-19.1,
Theespruit Formation ,3550,MCKI74.591,CH,0,0,0,0.05,0,-20.4,
Theespruit Formation ,3550,MCKI74.591,CH,0,0,0,0.05,0,-17.4,
Theespruit Formation ,3550,MCKI74.391,CH,0,0,0,0.04,0,-18.2,
Isua Supergroup ,3700,HAYE83..93,BIF,95,0.13,0.13,0.02,0.001,-10,
Isua Supergroup ,3700,HAYE83..93,H,57,0.06,0.06,0.01,0.001,-13.2,
