Formation,Age (Ma),PPRG Sample No.,Lithology,C (%),H (%),N (%),H/C,N/C,KCl,delCorg (‰) (PDB)
Gamohaan Formation ,2450,2513,CARB,73,1.47,0.63,0.25,0.008,7,-32.7
Gamohaan Formation ,2450,2514,CARB,78.4,1.71,0.78,0.26,0.009,7,-34.6
Gamohaan Formation ,2450,2517,CARB,86,1.98,0.95,0.28,0.01,7,-34.5
Gamohaan Formation ,2450,2518,CARB,68.9,1.49,0.74,0.26,0.009,7,-34.6
Gamohaan Formation ,2450,2520,SH,79.5,1.2,0.91,0.18,0.01,nd,-34.9
Jeerinah Formation ,2650,1932,SH,25.6,1.01,0.28,0.48,0.009,7,-45.1
Jeerinah Formation ,2650,1972,SH,31.7,0.93,0.2,0.36,0.006,7,-41.4
Meentheena Carbonate Member ,2750,1355,CH,44.4,0.83,0.43,0.22,0.008,7,-51.8
Tumbiana Formation ,2750,2050,CARB,28.7,0.68,0.41,0.28,0.012,7,-52.9
Tumbiana Formation ,2750,2065,SH,60.3,2.38,0.26,0.47,0.004,7,-58.7
Tumbiana Formation ,2750,2070,CARB,30.7,0.8,0.34,0.32,0.009,nd,-53.8
Kromberg Formation ,3300,1391,CH,76.8,0.79,0.44,0.12,0.005,7,-30.3
Kromberg Formation ,3300,1392,CH,88.8,1.06,0.54,0.14,0.005,7,-26.2
Kromberg Formation ,3300,1396,CH,85.2,1.18,0.42,0.16,0.004,7,-32.6
Fig Tree Group ,3350,1400,CH,73.2,1.03,0.63,0.18,0.007,7,-28.5
Fig Tree Group ,3350,1403,CH,29.9,0.48,0.77,0.19,0.022,7,-28.6
Hooggenoeg Formation ,3450,1386,CH,79.8,1.35,0.29,0.2,0.003,7,-36.7
Theespruit Formation ,3550,1385,CH,88.3,0.45,0.21,0.06,0.002,7,-15.1
