Field ID,Stratigraphic Position Relative to Khc/PgFtu Contact [m],Percent Sand,Percent Silt,Percent Clay,Percent Organic,Rock Type,d13C [‰] (PDB),Standard Devation [‰],Weight Percent Organic Carbon,Excursion
Herman Ridge Section,,,,,,,,,,
MT02-230,-36.29,4,39,57,0,Mudstone,-26.35,0.03,1,Neg2
MT02-229,-36.46,0,37,51,12,Mudstone,-26.07,0.03,2.2,
MT02-228,-36.65,0,3,97,0,Mudstone,-24.4,0.13,0.1,
MT02-227,-36.93,,,,,Sandstone,-23.86,0.06,0.1,
MT02-226,-37.13,12,78,3,6,Sandstone,-24.66,0.08,0.1,
MT02-225,-37.33,,,,,Sandstone,-24.64,0.07,0.1,
MT02-224,-37.59,,,,,Paleosol,-24.29,0.18,0.2,
MT02-223,-38.58,,,,,Siltstone,-22.64,0.09,0,
MT02-222,-38.78,21,69,9,0,Siltstone,-22.85,0.02,0,
MT02-221,-38.98,,,,,Siltstone,-21.15,0.16,0.1,Pos1
MT02-220,-39.28,15,35,50,0,Mudstone,-23.75,0.05,0.1,
MT02-219,-39.69,,,,,Siltstone,-23.6,0.1,0.1,
MT02-218,-39.89,,,,,Siltstone,-24.16,0.09,0.1,
MT02-217,-40.09,2,75,23,0,Siltstone,-23.16,0.05,0.1,
MT02-216,-40.29,,,,,Siltstone,-22.21,0.12,0.1,
MT02-215,-40.49,,,,,Siltstone,-23.73,0.15,0.1,
MT02-214,-40.81,55,3,42,0,Mudstone,-25.19,0.04,0.2,
MT02-213,-41.15,4,75,10,11,Sandstone,-24.15,0.08,0.2,
MT02-212,-41.35,,,,,Sandstone,-24.02,0.09,0.1,
MT02-211,-41.57,12,63,9,16,Mudstone,-25.55,0.06,2.1,
MT02-210,-41.85,0,54,42,4,Sandstone,-22.99,0.09,0.1,
MT02-208,-42.25,0,30,61,9,Mudstone,-23.75,0.09,0.2,
MT02-207,-42.45,,,,,Mudstone,-23.98,0.04,0.2,
MT02-206,-42.65,,,,,Mudstone,-24.46,0.01,0.2,
MT02-205,-42.85,,,,,Siltstone,-22.97,0.22,0.1,
MT02-204,-43.05,,,,,Siltstone,-24.54,0.03,0.1,
MT02-203,-43.25,42,53,5,0,Sandstone,-23.7,0.06,0.1,
MT02-202,-43.45,,,,,Sandstone,-22.8,0.15,0.1,
MT02-201,-43.65,,,,,Sandstone,-23.84,0.25,0,
MT02-200,-43.85,,,,,Sandstone,-23.6,0.21,0.1,
MT02-199,-43.95,,,,,Mudstone,-23.75,0.07,0.1,
MT02-198,-44.21,6,42,33,19,Mudstone,-24.32,0.06,0.3,
MT02-197,-44.47,,,,,Mudstone,-23.7,0.05,0.1,
MT02-196,-44.67,9,42,33,16,Mudstone,-23.84,0.25,0.1,
MT02-195,-44.87,,,,,Mudstone,-23.6,0.27,0.1,
MT02-194,-45.07,,,,,Mudstone,-23.79,0.2,0.1,
MT02-193,-45.41,7,65,20,8,Mudstone,-23.85,0.1,0.1,
MT02-192,-45.61,,,,,Mudstone,-23.78,0.08,0.1,
MT02-191,-45.81,,,,,Mudstone,-23.27,0.15,0.1,
MT02-190,-46.01,7,51,35,7,Mudstone,-22.95,0.12,0.1,
MT02-189,-46.21,,,,,Mudstone,-22.85,0.12,0.1,
MT02-188,-46.4,,,,,Mudstone,-24.39,0.13,0.2,
MT02-187,-46.51,9,40,24,22,Mudstone,-23.84,0.03,0.1,
MT02-186,-46.71,4,70,20,6,Siltstone,-23.14,0.14,0.1,
MT02-185,-46.91,,,,,Siltstone,-23.75,0.16,0.1,
MT02-162,-56.8,,,,,Mudstone,-26.34,0.04,1.3,Neg3
