KEY,ID,Latitude,Longitude,Altitude (m),Sampling date,strata,stratigraphic section (m),TOC (%),u(TOC),1/TOC,d13CDOM,n,u(d13CDOM),"d13Ccarb from Bowen et al., 2001",u(d13Ccarb),d13Ccarb PETM anomaly,d13Cmodel-plant,u(d13Cmodel-plant),d13CPOM,n(POM),u(d13CPOM),d13CCMOM,n(CMOM),u(d13CCMOM),d13CFMOM,n(FMOM),u(d13CFMOM),fCMOC,u(fCMOC),fFMOC,u(fFMOC),fcoarse,u(coarse),ffine,u(fine),d13CDOM-model ,u(d13CDOM-model),n(Ro) vitrinite,flitpinite,u(liptinite),fvitrinite,u(vitrinite),finertinite,U(inertinite),d13Cliptinite,u(d13Cinertinite),d13Cvitrinite,u(d13Cvitrinite),d13Cinertinite,u(d13Cinertinite),d13CPOM-model ,u(d13CPOM-model)
20777,PBO-02-07b,,,,2-Jul,red,48.35,0.05430961,0.005430961,18.41294754,-26.848876,2,0.631545753,-13.471,0.1,-4.671293638,-26.97811965,1.048808848,-28.15113698,1,0.3,-27.50808307,1,0.5,-26.75096099,1,0.5,0.440678371,0.088168163,0.559321629,0.111905562,0.486338798,0.04863388,0.513661202,0.05136612,-27.08460831,0.575098883,22,0.8,0.16,0.19,0.095,0.01,0.002,-28.22811965,1.055651458,-26.62811965,1.078192933,-25.97811965,1.067707825,-28.18,1.339973828
20778,PBO-02-12a,,,,2-Jul,purple,53.35,0.060106562,0.006010656,16.63711859,-26.60995725,2,0.474978912,-13.8,0.1,-5.000482143,-27.25792988,1.048808848,-27.34414533,1,0.3,-27.02968176,1,0.5,-26.13989429,1,0.5,0.521107272,0.10426851,0.478892728,0.095821789,0.33988764,0.033988764,0.66011236,0.066011236,-26.60356901,0.575135039,7,0.3,0.15,0.69,0.483,0.01,0.002,-28.50792988,1.055651458,-26.90792988,1.078192933,-26.25792988,1.067707825,-27.38,1.688042989
20779,PBO-02-14,,,,2-Jul,red-orange,56.85,0.071811286,0.007181129,13.92538772,-26.26870635,3,0.494968998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20780,PBO-02-17,,,0.035322538,2-Jul,gray orange,62.85,0.111403316,0.005570166,8.976393485,-26.11263711,2,0.33677585,-11.091,0.1,-2.29076,-24.95466606,1.264911064,-26.28001041,1,0.3,-26.5775412,1,0.3,-26.08951918,1,0.3,0.531747456,0.084128811,0.468252544,0.074083156,0.287461774,0.028746177,0.712538226,0.071253823,-26.34902365,0.374595369,34,0.5,0.15,0.49,0.098,0.01,0.002,-26.20466606,1.270590414,-24.60466606,1.289379696,-23.95466606,1.280624847,-25.54,1.371904005
20781,PBO-02-20,,,,2-Jul,red,67.05,0.116019956,0.005800998,8.619206854,-26.01727469,2,0.320305214,-10.084,0.1,-1.283778333,-24.09873164,1.264911064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20782,PBO-04-03,,,,4-Jul,gray-orange,68.25,0.151073744,0.007553687,6.619283891,-25.70657778,2,0.3669257,-9.689,0.1,-0.888891071,-23.76307747,1.264911064,-26.92396308,1,0.3,-26.61992064,1,0.3,-25.79759783,1,0.3,0.468475697,0.074156992,0.531524303,0.084137222,0.546268657,0.054626866,0.453731343,0.045373134,-26.18283608,0.37466833,43,0.6,0.12,0.39,0.078,0.01,0.002,-25.01307747,1.270590414,-23.41307747,1.289379696,-22.76307747,1.280624847,-25.86,1.369100759
20783,PBO-04-08,,,,4-Jul,gray-orange,78.45,0.210781216,0.006323436,4.744255769,-25.33538213,3,0.459254464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20784,PBO-02-23,,,,2-Jul,gray sandy,79.25,0.114028306,0.005701415,8.76975231,-25.27474377,2,0.301200946,-8.788,0.1,0.0124375,-22.99694819,1.048808848,-24.51119136,1,0.3,-26.48326404,1,0.3,-25.72719709,1,0.3,0.433707409,0.06861973,0.566292591,0.089596913,0.544,0.0544,0.456,0.0456,-26.05510893,0.374605537,6,0.1,0.06,0.89,0.356,0.01,0.002,-24.24694819,1.055651458,-22.64694819,1.078192933,-21.99694819,1.067707825,-23.93,1.385557382
20785,PBO-04-13,,,,4-Jul,orange,92.65,0.094817847,0.009481785,10.54653772,-25.68094272,2,0.405007521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20786,PBO-04-15,,,,4-Jul,red-orange,104.55,0.072690855,0.007269086,13.75688868,-25.70203329,3,0.452553447,-8.656,0.1,0.143847,-22.88525011,1.048808848,-26.70326886,1,0.3,-26.78623072,1,0.5,-25.68127723,1,0.5,0.431243811,0.08630571,0.568756189,0.113826345,0.576502732,0.057650273,0.423497268,0.042349727,-26.15778158,0.575180988,8,0.9,0.63,0.09,0.018,0.01,0.002,-24.13525011,1.055651458,-22.53525011,1.078192933,-21.88525011,1.067707825,-25.77,1.164585264
