KEY,ID,Latitude,Longitude,Altitude (m),sampling date,strata description,stratigraphic section (m),TOC (%),u(TOC),1/TOC,d13CDOM (PDB),n,u(d13Cdom),d13Cn-alkanes,u(d13Cn-alkanes),u(d13Cmodel-plant),"d13Cmodel-plant (from Smith et al., 2007)",u(d13Cmodel-plant)hw16,d13CPOM,n,u(d13CPOM),d13CCMOM,n,u(d13CCMOM),d13CFMOM,n,u(d13CFMOM),fCMOC,u(fCMOC),fFMOC,u(fFMOC),fcoarse,u(fcoarse),ffine,u(ffine),d13CDOM-model ,u(d13CDOM-model),n(Ro) vitrinite,flitpinite,u(fliptinite),frecycled,u(frecycled),fvitrinite,u(vitrinite),d13Cliptinite,u(d13Cinertinite),d13Cvitrinite,u(d13Cvitrinite),d13Crecycled,u(d13Crecycled),d13CPOM-model ,u(d13CPOM-model)
20722,HW-10-035,44.02565,107.72846,1453,10-Aug,grey above thin yellow greyer and coarse,29,0.13,0.0065,7.692307692,-25.45,3,0.12399781,,0.25,1.35,-30.45,1.372953022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20723,HW-10-039,44.0188,107.72986,1425,10-Aug,grey mudstone with sandstone,29.8,0.1,0.005,10,-24.75,2,0.649630461,,0.25,1.35,-30.4,1.372953022,-26.54,1,0.3,-26.06,1,0.3,-22.26,1,0.3,0.71,0.112316973,0.29,0.045875947,0.72,0.072,0.28,0.028,-24.958,0.374652046,39,0.15,0.045,0.75,0.075,0.1,0.02,-31.65,1.378187215,-30.05,1.395528574,-24.1,0.3,-25.8275,1.446420681
20724,HW-10-036,44.02565,107.72846,1453,10-Aug,grey very coarse even sandy interrbeded with layer of carbonate nodules,30.8,0.07,0.007,14.28571429,-24.08,1,0.5,,0.25,1.35,-30.3,1.372953022,-25.32,1,0.3,-26.53,1,0.5,-24.14,1,0.5,0.45,0.090055108,0.55,0.110067354,0.52,0.052,0.48,0.048,-25.2155,0.57522361,21,0.1,0.05,0.8,0.16,0.1,0.02,-31.55,1.378187215,-29.95,1.395528574,-24.1,0.3,-25.43,1.484358495
20725,HW-10-040,44.0188,107.72986,1425,10-Aug,coarse sandsonte (crevasse),32.1,0.03,0.0045,33.33333333,,2,1.089648822,,0.25,1.35,-30.2,1.372953022,-26.48,2,0.413,-26.61,1,1,-24.56,1,1,0.34,0.086696833,0.66,0.168293853,0.61,0.061,0.39,0.039,-25.257,1.064476673,4,0.3,0.09,0.6,0.12,0.1,0.02,-31.45,1.378187215,-29.85,1.395528574,-24.1,0.3,-26.88,1.474686413
20726,HW-10-041,44.01884,107.72979,1428,10-Aug,yellow brown mudstone,33.1,0.09,0.009,11.11111111,-26,1,0.5,,0.25,1.35,-30.1,1.372953022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20727,HW-10-042,44.01883,107.72977,1429,10-Aug,white sandstone,33.6,0.04,0.006,25,,1,0.5,,0.25,1.35,-30.05,1.372953022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20728,HW-10-043,44.01883,107.72977,1429,10-Aug,grey mudstone with purple mottles,34.6,0.07,0.007,14.28571429,-25.09,1,0.5,,0.25,1.35,-29.95,1.372953022,-26.13,1,0.3,-25.52,1,0.5,-24.48,1,0.5,0.32,0.064039188,0.68,0.136083275,0.51,0.051,0.49,0.049,-24.8128,0.575238245,6,0.2,0.08,0.8,0.4,0,0,-31.2,1.378187215,-29.6,1.395528574,-24.1,0.3,-25.52,0.78922
20729,HW-10-044,44.01883,107.72975,1432,10-Aug,grey sandy mudstone,35.6,0.06,0.006,16.66666667,-25.32,2,0.773782749,,0.25,1.35,-29.85,1.372953022,,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
20730,HW-10-001,44.01866,107.73048,1431,10-Aug,red mudstone (BR1) slick and slides,37.6,0.06,0.006,16.66666667,-24.15,10,0.528472874,,0.25,1.35,-29.7,1.372953022,-25.43,1,0.3,-27.15,1,0.5,-23.55,1,0.5,0.29,0.058026094,0.71,0.142063886,0.33,0.033,0.67,0.067,-24.594,0.575205989,73,0.1,0.04,0.7,0.07,0.2,0.04,-30.95,1.378187215,-29.35,1.395528574,-24.1,1.387443693,-25.835,1.446999229
20731,HW-10-009,44.01983,107.7286,1439,10-Aug,sandy layer of black paleosol coarsly grained but rich in organic matter,37.9,0.24,0.0072,4.166666667,-27.95,2,0.258663463,,0.25,1.35,-29.7,1.372953022,-29.59,2,0.312,-28.58,1,0.3,-28.36,1,0.3,0.2,0.029564736,0.8,0.118258943,0.25,0.025,0.75,0.075,-28.404,0.365958691,32,0.8,0.08,0,0,0.2,0.04,-30.95,1.378187215,-29.35,1.395528574,-24.1,1.387443693,-30.63,0.78922
20732,HW-10-010,44.01983,107.7286,1439,10-Aug,CS2=black oily laminated mudstone rich in organic matter (leaf fossiles),38.2,1.72,0.0172,0.581395349,-30.12,1,0.128956,-34.6,0.25,1.35,-29.7,1.372953022,-31.21,2,0.092,-29.97,1,0.3,-30.28,1,0.3,0.53,0.075876752,0.47,0.067286931,0.63,0.063,0.37,0.037,-30.1157,0.362201656,76,0.4,0.04,0,0,0.6,0.06,-30.95,1.378187215,-29.35,1.395528574,-24.1,1.387443693,-29.99,0.78922
20733,HW-10-011,44.01983,107.7286,1439,10-Aug,black paleosol progressively less rich in OM slick and slides jarosite and gypsum,39.1,0.05,0.005,20,-25.4,1,0.5,,0.25,1.35,-29.3,1.372953022,-26.99,1,0.3,-25.76,1,0.5,-24.34,1,0.5,0.43,0.086026871,0.57,0.114035619,0.77,0.077,0.23,0.023,-24.9506,0.575194517,7,0.3,0.09,0.6,0.3,0.1,0.02,-30.55,1.378187215,-28.95,1.395528574,-24.1,1.387443693,-26.52,1.670893986
20734,HW-10-002,44.0186,107.73062,1432,10-Aug,purple mudstone (BR2) slick and slides,40.1,0.06,0.006,16.66666667,-25.6,2,0.289499894,,0.25,0.67,-29,0.715122367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20735,HW-10-004,44.0188,107.7308,1430,10-Aug,purple mudstone(BR3),42.1,0.07,0.007,14.28571429,-25.18,3,0.33132174,,0.25,0.67,-28.3,0.715122367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20736,HW-10-005,44.01874,107.73088,1434,10-Aug,purple mudstone (BR4),44.1,0.08,0.008,12.5,-24.62,2,0.433586418,,0.25,0.67,-27.7,0.715122367,-26.63,1,0.3,-27.07,1,0.5,-23.43,1,0.5,0.33,0.066052779,0.67,0.134107157,0.4,0.04,0.6,0.06,-24.6312,0.575260434,25,0.25,0.025,0.6,0.12,0.15,0.03,-28.95,0.72512068,-27.35,0.757561879,-24.1,0.742563129,-25.8,0.892661569
20737,HW-10-006,44.01848,107.73139,1438,10-Aug,purple and grey mudstone (BR6),47.1,0.1,0.005,10,-25.31,2,0.035671489,-32.1,0.25,0.67,-27.2,0.715122367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20738,HW-10-007,44.01866,107.73147,1443,10-Aug,purple mudstone red at the top (BR7),49.6,0.09,0.009,11.11111111,-25.1,3,0.007779273,,0.25,0.67,-27.2,0.715122367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20739,HW-10-008,44.01845,107.73163,1447,10-Aug,purple mudstone (BR8),51.6,0.09,0.009,11.11111111,-24.6,1,0.5,,0.25,0.67,-27.2,0.715122367,-25.25,3,0.296,-27.14,1,0.5,-23.97,1,0.5,0.35,0.070070839,0.65,0.130131558,0.32,0.032,0.68,0.068,-25.0795,0.575270824,76,0.3,0.03,0.3,0.03,0.4,0.08,-28.45,0.72512068,-26.85,0.757561879,-24.1,0.742563129,-26.505,0.838085526
