,"Location 1: Chuckanut Fm, Washington USA",,,,,,,
KEY,Sample ID,Strat Ht (m),Lithology,N%,?15N (AIR),"C% (TOC, wt %)",C/N,?13C (VPDB)
23254,CF-192,769,silt,,,0.46,,-24.9
23255,CF-193,771,coaly silt,0.14,3.6,5.14,42.26,-25.5
23256,CF-194,773.5,coal,0.95,2,75.23,92.14,-22.5
23257,CF-195,776,silt,,,0.36,,-24.8
23258,CF-197,781.5,silt,,,0.53,,-25.1
23259,CF-198,784.25,coaly silt,0.46,2.5,19.2,48.95,-26
23259,CF-198 z,784.25,coaly silt,,,10.79,,-27.3
23259,CF-198 zz,784.25,coaly silt,,,15.12,,-26.4
23262,CF-199,785.5,coal,0.95,3.9,70.09,85.77,-21.6
23263,CF-200,788,coal,1.12,2.6,63.42,65.87,-24.8
23263,CF-200z,788,coal,1.05,2.6,57.32,63.65,-24.8
23265,CF-201,793,silt,,,0.37,,-24.9
23265,CF-201 z,793,silt,,,0.36,,-24.7
23267,CF-202,794,coal,0.84,2.5,46.7,65.02,-25.6
23268,CF-203,796,coal,0.44,1.9,19.04,50.98,-25.8
23269,CF-204,798,coal,0.97,3.6,63.5,76.55,-23.4
23270,CF-205,801.75,coal,1.03,1.9,69.21,78.42,-24.4
23271,CF-206,803.25,coaly silt,0.34,2.9,13.17,45.56,-26.8
23271,CF-206z,803.25,coaly silt,0.41,2.2,17.59,49.74,-26.7
23273,CF-207,805.5,coaly silt,0.34,2.8,14.86,50.58,-25.3
23274,CF-208,812.5,coaly silt,,,0.55,,-25.4
23275,CF-209,815,coal,0.96,2.7,47.98,58.34,-23.9
23276,CF-210,817,coaly silt,,,1.31,,-24.8
23276,CF-210 z,817,coaly silt,,,0.98,,-25
23278,CF-211,819,coal,0.93,1.8,64.92,81.22,-24.3
23279,CF-212,819.25,coal,1.34,2.4,61.57,53.78,-25.6
23280,CF-213,821.5,coaly silt,0.23,2.7,9.39,46.64,-25.2
23281,CF-214,827,coal,0.58,2.8,56.44,113.19,-22.9
23282,CF-215,829,silt,,,0.38,,-24.9
23282,CF-215 z,829,silt,,,0.35,,-24.8
23284,CF-216,829.25,coaly sand,0.85,2.6,58.47,80.13,-22.4
23285,CF-217,831.5,coal,0.84,1.5,64.2,88.83,-23.4
23285,CF-217z,831.5,coal,1.29,2,96.56,87.21,-23.3
23287,CF-218,833.5,silt,,,0.69,,-24.8
23288,CF-219,835.5,silt,,,0.17,,-24.2
23289,CF-220,839,silt,,,0.25,,-24.5
23290,CF-221,841.25,coaly silt,,,2.1,,-25.8
23291,CF-222,843,coaly silt,0.77,2.6,40.27,61.15,-25.8
23292,CF-223,844.25,coaly silt,0.51,2.3,25.06,57.29,-25.1
23292,CF-223 z,844.25,coaly silt,0.66,2.8,32.25,56.92,-25.2
23294,CF-224,846,coal,1.18,2.7,82.36,81.13,-24.4
23295,CF-225,848,coaly silt,,,7.72,,-25.3
23296,CF-226,851,coal,0.84,2.3,66.33,92.55,-22.4
23297,CF-227,854.75,coaly silt,,,0.65,,-25.7
23298,CF-228,857,coaly silt,,,1.59,,-25
23299,CF-229,859,coal,1.22,2.6,57.9,55.58,-25.6
23300,CF-230,865.5,silt,,,0.32,,-24.6
23301,CF-231,871.5,sand,,,0.41,,-24.8
23302,CF-232,873.5,coal,,,1.83,,-23.1
23303,CF-234,882,silt,,,0.85,,-25
23304,CF-235,884.25,coal,0.67,1.7,48.53,84.02,-23.1
23305,CD5-P3,,,,,3.53,,-24.2
23305,CD5-P3z,,,,,2.92,,-25.2
23307,CDAA-P2,,,,,0.07,,-25.4
23307,CDAA-P5z,,,,,9.68,,-24.6
,,,,,,,,
,,,,,,,,
,"Location 2: Paskapoo Fm, Alberta Canada",,,,,,,
,Sample ID,Depth (m),Lithology,N%,?15N (AIR),C%,C/N,?13C (VPDB)
23309,76-54-002,19.7,sand,,,0.07,,-25.1
23310,76-54-003,20.9,sand,,,0.15,,-24.4
23311,76-54-004,22.7,coaly clay,0.14,2.3,1.58,12.96,-23.7
23312,76-54-005,23.2,coaly clay,0.4,4.6,1.98,5.71,-23.3
23313,76-54-007,23.5,coaly clay,0.15,2,1.36,10.64,-24
23313,76-54-007 z,23.5,coaly clay,0.16,2.7,1.37,9.94,-24.3
23315,76-54-008,23.8,coaly clay,0.2,3.4,3.58,20.48,-23.5
23316,76-54-009,24.2,coaly clay,0.14,2.9,1.09,9.38,-25.3
23317,76-54-010,24.4,coaly clay,0.12,1.8,0.86,8.3,-24.9
23318,76-54-011,25.9,coaly clay,0.75,4.5,26.78,41.49,-24
23319,76-54-012,26.2,coal,1.16,3.2,54.79,54.87,-23.4
23320,76-54-013,26.7,coaly clay,0.48,3.6,20.42,49.3,-24.3
23321,76-54-014,27,silty clay,,,0.27,,-23.8
23321,76-54-014 z,27,silty clay,,,0.21,,-24.2
23323,76-54-015,27.9,f. sand,,,0.08,,-24.6
23324,76-54-016,29.3,silt,,,0.19,,-23.7
23325,76-54-017,30,silty clay,,,0.37,,-24.2
23326,76-54-018,31.1,silty clay,,,0.57,,-24.9
23327,76-54-019,31.3,silt,,,0.4,,-25.2
23327,76-54-019 z,31.3,silt,,,0.4,,-25.2
23329,76-54-020,32.3,sand,,,0.17,,-25
23330,76-54-021,33.5,sand,,,0.2,,-25.1
23331,76-54-022,34.6,silt,,,0.3,,-25.2
23332,76-54-023,35.5,coaly sand,,,2.24,,-23.3
23332,76-54-023 z,35.5,coaly sand,,,2.32,,-23.3
23334,76-54-024,36,coaly clay,0.11,3.2,2.18,22.64,-25
23335,76-54-025,36.7,f. sand,,,0.23,,-24.3
23336,76-54-026,37.8,f. sand,,,0.45,,-23.9
23337,76-54-027,38.4,coaly clay,0.11,1.8,1.64,17.3,-24.8
23338,76-54-028,39.6,sand,,,0.13,,-25.8
23338,76-54-028 z,39.6,sand,,,0.11,,-26
23338,76-54-028 zz,39.6,sand,,,0.13,,-26
23341,76-54-029,39.9,sand,,,0.1,,-24
23342,76-54-030,40.9,carb. sand,,,0.44,,-24
23343,76-54-031,41.2,coal,1.53,3.6,59.06,45.06,-24.9
23344,76-54-032,41.5,sand,,,0.11,,-24.4
23345,76-54-033,42.2,silt,,,0.51,,-24.8
23346,76-54-034,43,sand,,,0.61,,-25
23347,76-54-036,43.4,coal,0.64,4.3,24.93,45.35,-23.8
23347,76-54-036 z,43.4,coal,0.86,4,32.8,44.39,-24
23349,76-54-037,43.6,carb clay,0.25,3.4,7.27,34,-26.3
23350,76-54-038,43.8,coaly clay,0.94,4.4,34.14,42.35,-24.5
23351,76-54-039,44.4,carb silt,,,1.03,,-24.2
23352,76-54-041,44.8,silt,,,0.27,,-23.7
23353,76-54-042,45.3,clay,,,0.65,,-24.9
