Formation,Std Fm. Name,Age (Mya),Std Lithology,Std Lithology Code,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Amisk Group ,Amisk,1800,shale,SH,17,-28.1,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,23,-27.9,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,24,-28.5,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,21,-29.4,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,7,-27,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,33,-28,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,17,-28.2,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,12,-27.3,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,30,-29,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,29,-29.8,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,6,-25.2,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,22,-17.9,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,5,-25.4,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,7,-23.8,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,5,-23.5,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,7,-22.7,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,7,-22.4,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,5,-23.1,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,10,-23,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,7,-23.5,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,5,-23,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,6,-22,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,6,-20.7,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,13,-28.6,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,10,-28,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,4,-27.9,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,8,-27.8,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,6,-27.1,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,12,-28.5,,,STRA862653,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Amisk Group ,Amisk,1800,shale,SH,16.78,-26.4,,40,STRA862653,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,?,This may be the Owk Shale?
"Amphibole Schist Fm, Kuusamo","Amphibole Schist, Kuusamo",2050,shale,SH,4.57,-16.81,,2,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Anti-Atlas, Morocco",Anti-Atlas,543,carb,CARB,,,-2.147062731,542,Maloof et al. (2005),Krissansen-Totton 2015,FALSE,FALSE,,,,
"Anti-Atlas, Morocco",Anti-Atlas,538,carb,CARB,,,-1.114089552,67,Maloof et al. (2005),Krissansen-Totton 2015,FALSE,FALSE,,,,
"Anti-Atlas, Morocco",Anti-Atlas,532,carb,CARB,,,2.35995935,123,Maloof et al. (2005),Krissansen-Totton 2015,FALSE,FALSE,,,,
"Anti-Atlas, Morocco",Anti-Atlas,527,carb,CARB,,,1.214566416,399,Maloof et al. (2005),Krissansen-Totton 2015,FALSE,FALSE,,,,
"Anti-Atlas, Morocco",Anti-Atlas,522,carb,CARB,,,-1.726619469,678,Maloof et al. (2005),Krissansen-Totton 2015,FALSE,FALSE,,,,
"Anti-Atlas, Morocco",Anti-Atlas,518,carb,CARB,,,-0.169690096,313,Maloof et al. (2005),Krissansen-Totton 2015,FALSE,FALSE,,,,
Aok,Aok,900,lime,LS,,,2.409259259,27,Jones et al. (2010),Krissansen-Totton 2015,FALSE,FALSE,,,,
Apex,Apex,3450,chert,CH,0.1,-27,,3,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,?,lol how did KT get 3450 when the actual source says 3400
Apex Basalt ,Apex,3400,chert,CH,0.1,-27,,3,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Aravalli,Aravalli,2350,carb,CARB,2.02,-15.1,,12,bane86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,carbonate,CARB,1.6,-14.7,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,carbonate,CARB,1.5,-15.9,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Aravalli Supergroup ,Aravalli,2350,carbonate,CARB,1.9,-13.7,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
