Formation,Std Fm. Name,Age (Mya),Std Lithology,Std Lithology Code,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Khatyspyt,Khatyspyt,625,shale,SH,,-36.4,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Khatyspyt,Khatyspyt,625,carb,CARB,4.93,-37.1,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Khatyspyt Formation ,Khatyspyt,620,shale,SH,207.13,-36.4,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Khatyspyt Formation ,Khatyspyt,620,carbonate,CARB,4.93,-37.1,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Khatyspyt Formation ,Khatyspyt,620,shale,SH,,-36.2,,1,PPRG,Strauss 1992 17.10 (Summary),TRUE,FALSE,,,,
"Kheinjua, Vindhyan",Kheinjua,1400,lime,LS,,,0.9,1,friedman96,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Kheinjua, Vindhyan, Son Valley",Kheinjua,1400,dol,DOL,,,0.38,8,"ray, unpublished (see PMCID ref)",Krissansen-Totton 2015,FALSE,FALSE,,,,
Khufai,Khufai,605,lime,LS,0.63142381,-31.76203575,,32,Fike et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Khufai,Khufai,605,lime,LS,,,2.378414794,34,Fike et al. (2006),Krissansen-Totton 2015,FALSE,FALSE,,,,
Kimberley,Kimberley,2750,shale,SH,0.08,-23.7,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kimberley Shale ,Kimberley,2750,shale,SH,0.08,-23.7,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kingbreen,Kingbreen,825,shale,SH,1.27,-27,,6,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kingbreen,Kingbreen,825,carb,CARB,0.73,-21,,4,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kingbreen,Kingbreen,825,carb,CARB,,,3.6,4,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,shale,SH,0.7,-29.3,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,shale,SH,1.2,-26.2,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,shale,SH,1.7,-20.2,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,limestone,LS,1,-25.7,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,limestone,LS,0.8,-23.2,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,carbonate,CARB,0.8,-23.6,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,carbonate,CARB,0.3,-11.4,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,shale,SH,1.1,-28.1,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,shale,SH,1.1,-25.7,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,shale,SH,1.8,-32.3,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,limestone,LS,,,4.5,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,limestone,LS,,,5,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,carbonate,CARB,,,5,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,carbonate,CARB,,,0.1,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,shale,SH,1.27,-27,,6,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,carbonate,CARB,0.73,-21,,4,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Kingbreen Formation ,Kingbreen,830,carbonate,CARB,,,3.6,4,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Kingston Peak,Kingston Peak,850,silt,SILT,,-19.5,,1,jack78,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kingston Peak,Kingston Peak,850,lime ,LS,8.05,-22.3,,4,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kingston Peak,Kingston Peak,850,lime,LS,,,2,7,tuck87,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,siltstone,SILT,,-19.5,,,JACK78.335,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,3.5,,,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,15.8,-19.9,,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,6.8,-21.5,,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,14.9,-23.7,,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,9.2,,,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,6.6,-25.2,,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,5.2,,,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,2.4,,,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,,,1.1,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,,,1,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,,,4.3,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,,,1.4,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,,,2.8,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,,,1.4,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,,,1.8,,TUCK86.818,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,siltstone,SILT,,-19.5,,1,JACK78.335,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,8.05,,,4,TUCK86.818,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,,-22.3,,4,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Kingston Peak Formation ,Kingston Peak,850,limestone,LS,,,2,7,TUCK87.818,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kirtonryggen,Kirtonryggen,550,lime,LS,,,-0.2,2,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kirtonryggen Formation ,Kirtonryggen,550,limestone,LS,,,-0.4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kirtonryggen Formation ,Kirtonryggen,550,limestone,LS,,,-0.4,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Kirtonryggen Formation ,Kirtonryggen,550,limestone,LS,,-0.4,,2,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kivalo,Kivalo,2175,dol,DOL,,,8.26,7,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
Klackaberget,Klackaberget,675,shale,SH,0.7,-23.1,,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Klackaberget,Klackaberget,675,carb,CARB,2,-12.5,,1,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Klackaberget,Klackaberget,675,shale,SH,,,2.8,2,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Klackaberget Formation ,Klackaberget,680,shale,SH,0.7,-23.1,,1,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Klackaberget Formation ,Klackaberget,680,carbonate,CARB,2,-12.5,,1,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Klackaberget Formation ,Klackaberget,680,shale and carbonate,"SH, CARB",,,2.8,2,KNOL86.832,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Klackberget Formation ,Klackaberget,680,dolostone,DOL,2,-12.5,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Klackberget Formation ,Klackaberget,680,shale,SH,0.7,-23.1,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Klackberget Formation ,Klackaberget,680,dolostone,DOL,,,9.8,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Klackberget Formation ,Klackaberget,680,shale,SH,,,-4.3,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Klein Naute,Klein Naute,2520,shale,SH,2.3975,-35.2,,4,Godfrey & Falkowski (2009) NatGeo,Krissansen-Totton 2015,FALSE,FALSE,,,,
Klipfonteinheuwel Formation ,Klipfonteinheuwel,2325,chert,CH,,-37.9,,1,PPRG,Strauss 1992 17.10 (Summary),TRUE,FALSE,,,,
Klippan,Klippan,2650,lime,LS,,,-3.86,7,veizer90,Krissansen-Totton 2015,FALSE,FALSE,,,,
Koegas Fm.,Koegas,2416,shale,SH,,,-8.466666667,3,Guo et al. (2009),Krissansen-Totton 2015,FALSE,FALSE,,,,
Komati,Komati,3475,lime,LS,,,-3.2,1,veizer89b,Krissansen-Totton 2015,FALSE,FALSE,,,,
Komati,Komati,3475,lime,LS,,,-1.3,5,schid75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Komati (Kromberg Frm?),Komati,3475,lime,LS,,,0.5,22,veizer89a+b,Krissansen-Totton 2015,FALSE,FALSE,,,,
Komati Formation,Komati,3450,limestone,LS,,,-1.6,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Komati Formation,Komati,3450,limestone,LS,,,-1.7,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Komati Formation,Komati,3450,limestone,LS,,,-2.3,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Komati Formation,Komati,3450,limestone,LS,,,0.5,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Komati Formation,Komati,3450,limestone,LS,,,-1.6,,SCHI75...1,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Komati Formation ,Komati,3450,limestone,LS,,,-1.3,5,SCHI75...1,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Kona,Kona,1875,chert,CH,0.07,-24.7,,3,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kona,Kona,1875,carb,CARB,0.06,-23.1,,4,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kona Dolomite ,Kona,2000,carbonate,CARB,0.06,-23.1,,4,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Kona Dolomite ,Kona,2000,chert,CH,0.07,-24.7,,3,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Koolpin,Koolpin,1875,chert,CH,1.13,-30.6,,1,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Koolpin,Koolpin,1875,chert,CH,,-31,,1,oehl72,Krissansen-Totton 2015,FALSE,FALSE,,,,
Koolpin Formation ,Koolpin,1885,chert,CH,,-31,,,OEHL721246,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Koolpin Formation ,Koolpin,1885,chert,CH,,-31,,1,OEHL721246,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Koolpin Formation ,Koolpin,1885,chert,CH,1.13,-30.6,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Koolpin Formation ,Koolpin,1885,chert,CH,,-30.4,,1,PPRG,Strauss 1992 17.10 (Summary),TRUE,FALSE,,,,
Kortbreen,Kortbreen,850,shale,SH,2.63,-24.7,,3,knoll86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kortbreen Formation ,Kortbreen,860,shale,SH,2.6,-25,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kortbreen Formation ,Kortbreen,860,shale,SH,2.5,-24.4,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kortbreen Formation ,Kortbreen,860,siltstone,SILT,2.8,-24.8,,,KNOL86.832,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kortbreen Formation ,Kortbreen,860,shale,SH,2.63,-24.7,,3,KNOL86.823,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
"Kotuikan, Anabar",Kotuikan,1450,dol,DOL,,-29.35,,4,knoll95a,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Kotuikan, Anabar",Kotuikan,1450,dol,DOL,,,-1.27,15,knoll95a,Krissansen-Totton 2015,FALSE,FALSE,,,,
Krivoj Rog,Krivoj Rog,2000,bif,BIF,0.7,-21.9,,1,hayes83,Krissansen-Totton 2015,FALSE,FALSE,X,NP (bif),,
Krivoj Rog,Krivoj Rog,2000,lime,LS,,,-9.3,25,perry81,Krissansen-Totton 2015,FALSE,FALSE,,,,
Krivoj Rog Iron Formation ,Krivoj Rog,2000,banded iron formation,BIF,0.7,-21.9,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Krivoj Rog Iron Formation ,Krivoj Rog,2000,limestone,LS,,,-9.3,25,PERR81..83,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,banded iron formation,BIF,0.07,-21.9,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-10.8,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-9.4,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-9.1,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-0.8,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-9.3,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-9.6,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-7.2,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-7.4,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-12.9,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-12.4,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-12,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-13.9,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-8.6,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-7.7,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-6.8,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-6.4,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-7.7,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-9,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-13.6,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-10.3,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-11.2,,PERR81 83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-9.3,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Krivoj RogIron Formation ,Krivoj Rog,2000,limestone,LS,,,-16.8,,PERR81..83,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol,Krol,600,carb,CARB,3.05,-28,,2,bane86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Krol C,Krol,600,carb,CARB,,,1.9,9,ahar86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Krol C Formation ,Krol,590,dolostone,DOL,,,0.9,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol C Formation ,Krol,590,dolostone,DOL,,,3.4,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol C Formation ,Krol,590,dolostone,DOL,,,3.2,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol C Formation ,Krol,590,dolostone,DOL,,,3.2,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Krol C Formation ,Krol,590,dolostone,DOL,,,1.1,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol C Formation ,Krol,590,dolostone,DOL,,,0.6,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol C Formation ,Krol,590,dolostone,DOL,,,1.4,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol C Formation ,Krol,590,limestone,LS,,,0.9,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol C Formation ,Krol,590,limestone,LS,,,2.3,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol C Formation ,Krol,590,carbonate,CARB,,,1.9,9,AHAR86.699,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Krol D,Krol,575,dol,DOL,,,2.9,11,ahar86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Krol D Formation ,Krol,580,dolostone,DOL,,,3.5,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol D Formation ,Krol,580,dolostone,DOL,,,4.7,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol D Formation ,Krol,580,dolostone,DOL,,,6,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol D Formation ,Krol,580,dolostone,DOL,,,3.5,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Krol D Formation ,Krol,580,dolostone,DOL,,,3.2,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol D Formation ,Krol,580,dolostone,DOL,,,3.2,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Krol D Formation ,Krol,580,dolostone,DOL,,,-1.2,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol D Formation ,Krol,580,dolostone,DOL,,,2.9,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol D Formation ,Krol,580,dolostone,DOL,,,1.6,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol D Formation ,Krol,580,dolostone,DOL,,,3.4,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol D Formation ,Krol,580,dolostone,DOL,,,0.8,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol D Formation ,Krol,580,dolostone,DOL,,,2.9,11,AHAR86.699,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Krol E,Krol,575,dol,DOL,,,3,3,ahar86,Krissansen-Totton 2015,FALSE,FALSE,,,,
Krol E Formation ,Krol,570,dolostone,DOL,,,2,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol E Formation ,Krol,570,dolostone,DOL,,,4.2,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol E Formation ,Krol,570,dolostone,DOL,,,2.8,,AHAR87.699,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol E Formation ,Krol,570,dolostone,DOL,,,3,3,AHAR87.699,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Krol Formation ,Krol,600,carbonate,CARB,3,-27.7,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol Formation ,Krol,600,carbonate,CARB,3.1,-28.3,,,BANE86.239,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Krol Formation ,Krol,600,carbonate,CARB,3.05,-28,,2,BANE86.239,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kromberg,Kromberg,3425,ank,ANK,,,0.17,3,veizer89b,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kromberg,Kromberg,3425,lime,LS,,,-0.6,3,veizer89b,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kromberg,Kromberg,3425,lime,LS,,,1.6,1,veizer89a,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kromberg,Kromberg,3425,dol,DOL,,,-1.3,4,veizer89a,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kromberg,Kromberg,3425,ank,ANK,,,0.9,11,veizer89a,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kromberg,Kromberg,3425,carb,CARB,,,0.9,1,schid83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kromberg,Kromberg,3350,chert,CH,2.03,-31.5,,9,pprg92,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kromberg,Kromberg,3350,chert,CH,2.01,-29.3,,8,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kromberg,Kromberg,3350,chert,CH,,-28.7,,5,oehl72,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kromberg,Kromberg,3350,chert,CH,,-26.1,,2,jack78,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kromberg,Kromberg,3350,chert,CH,0.03,-27,,1,Westall et al. (2001),Krissansen-Totton 2015,FALSE,FALSE,,,,
Kromberg,Kromberg,3350,chert,CH,2,-26.4,,1,leven75,Krissansen-Totton 2015,FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,,-33,,,OEHL721246,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,,-27.5,,,OEHL721246,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,,-30.6,,,OEHL721246,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,,-26.1,,,OEHL721246,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,,-26.2,,,OEHL721246,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,,-26.1,,,JACK78.335,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,,-26.2,,,JACK78.335,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,1.2,-32.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,0.5,-27.1,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,0.5,-31.5,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,2.6,-28.8,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,1.9,-25.2,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,6,-26.3,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,1.1,-37,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,shale,SH,2.3,-26.1,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,2,-26.4,,,LEVE754706,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,carbonate,CARB,,,0.9,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,,-28.7,,5,OEHL721246,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,,-26.1,,2,JACK78.335,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Kromberg Formation ,Kromberg,3300,chert,CH,2.01,-29.3,,8,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,FALSE,,,,
